family,N,runs,n_train,n_val,n_test,mean_test_mae_eV_per_atom,std_test_mae_eV_per_atom,mean_train_mae_eV_per_atom,mean_val_best_l1,mean_best_epoch,mean_final_batch_size,zero_shot_mae_eV_per_atom,summary_path,transfer_gain_vs_zero_shot
nitride,10,5,5,5,242,0.07040743217457178,0.0002017018565132105,0.020732176303863526,0.010538027342408895,1.0,32.0,0.06954201496284854,results/nitride/zero_shot/summary.json,-0.0008654172117232434
nitride,50,5,45,5,242,0.07070910884606198,0.0006031955241052237,0.013439431935548782,0.009918669518083335,1.0,32.0,0.06954201496284854,results/nitride/zero_shot/summary.json,-0.0011670938832134409
nitride,100,5,90,10,242,0.0717608487141157,0.0007595631023562355,0.014346835234512887,0.018831909261643888,1.0,32.0,0.06954201496284854,results/nitride/zero_shot/summary.json,-0.002218833751267163
nitride,200,5,180,20,242,0.07440425269767519,0.0006398329612188707,0.01957979777426873,0.022558443993330003,1.0,32.0,0.06954201496284854,results/nitride/zero_shot/summary.json,-0.004862237734826649
nitride,500,5,450,50,242,0.08152308751759696,0.001513755068620455,0.02804956685996472,0.03682414758950472,78.6,32.0,0.06954201496284854,results/nitride/zero_shot/summary.json,-0.011981072554748423
nitride,1000,5,900,100,242,0.07635745454949042,0.00019905753158595108,0.02226079066795258,0.027259752433747054,78.4,32.0,0.06954201496284854,results/nitride/zero_shot/summary.json,-0.00681543958664188
oxide,10,5,5,5,1484,0.0362664435130062,0.002000769766567331,0.01254257433116436,0.018583502899855376,1.0,32.0,0.03418360680813096,results/oxide/zero_shot/summary.json,-0.002082836704875239
oxide,50,5,45,5,1484,0.03843828601504719,0.0019562070212028005,0.014347326515449418,0.018259189277887344,36.2,32.0,0.03418360680813096,results/oxide/zero_shot/summary.json,-0.0042546792069162245
oxide,100,5,90,10,1484,0.03685196933246813,0.001296438984415827,0.011317184548825025,0.015026023145765066,67.0,32.0,0.03418360680813096,results/oxide/zero_shot/summary.json,-0.0026683625243371645
oxide,200,5,180,20,1484,0.03616901594581273,0.0001983365080177462,0.008979428983940226,0.012965731788426638,65.8,32.0,0.03418360680813096,results/oxide/zero_shot/summary.json,-0.0019854091376817692
oxide,500,5,450,50,1484,0.03586478150174187,0.0003080171994573525,0.00880552509939298,0.011221663607284427,58.8,32.0,0.03418360680813096,results/oxide/zero_shot/summary.json,-0.0016811746936109054
oxide,1000,5,900,100,1484,0.03557093361090753,0.00018881905064932426,0.008450152710157758,0.011544801876880229,57.0,32.0,0.03418360680813096,results/oxide/zero_shot/summary.json,-0.0013873268027765687
