family,N,seed_3,seed_4
nitride,10,0.07029903026620958,0.0705313472816151
nitride,50,0.07079923387678448,0.07116951574071133
nitride,100,0.07359627905986772,0.07499829198672506
nitride,200,0.08527792489140733,0.08495875193221757
nitride,500,0.07792982184289654,0.07873929706825451
nitride,1000,0.07628011868974148,0.07577396422039626
oxide,10,0.035633052163161184,0.03447181468743535
oxide,50,0.036241260656711675,0.04002822036217933
oxide,100,0.03604405455249224,0.038285568407504515
oxide,200,0.0361465084100722,0.03713763155111531
oxide,500,0.03617321007594471,0.036199952702438386
oxide,1000,0.035967013940015544,0.03581004907678928
