family,N,seed_0,seed_1,seed_2,seed_3,seed_4
nitride,10,0.11757167344835918,0.08263066216287288,0.09605327487946295,0.07029903026620958,0.0705313472816151
nitride,50,0.16176314320230534,0.160063459753436,0.1226664535039343,0.07079923387678448,0.07116951574071133
nitride,100,0.255990722909385,0.288266327455332,0.1683604518906021,0.07359627905986772,0.07499829198672506
nitride,200,0.14083734549551216,0.2507670267969986,0.134121102912059,0.08527792489140733,0.08495875193221757
nitride,500,0.11103363031105808,0.11399038155247604,0.10659293236965237,0.07792982184289654,0.07873929706825451
nitride,1000,0.09962329966562593,0.09825397432927997,0.10332520011319848,0.07628011868974148,0.07577396422039626
oxide,10,0.061017215491185904,0.04149125672633963,0.03604465207750871,0.035633052163161184,0.03447181468743535
oxide,50,0.07005073417921368,0.06448534763725022,0.05068732930470956,0.036241260656711675,0.04002822036217933
oxide,100,0.05257886434410074,0.05444544710509474,0.05113948807179943,0.03604405455249224,0.038285568407504515
oxide,200,0.05364166763080836,0.053726968007642935,0.04785101492107893,0.0361465084100722,0.03713763155111531
oxide,500,0.04710622004661935,0.048688744135656596,0.04664558848611523,0.03617321007594471,0.036199952702438386
oxide,1000,0.04637412279150813,0.04565289398800265,0.0446569330504257,0.035967013940015544,0.03581004907678928
