family,N,runs,n_train,n_val,n_test,epochs,batch_size,learning_rate,mean_test_mae_eV_per_atom,std_test_mae_eV_per_atom,mean_train_mae_eV_per_atom,mean_val_best_l1,finetune_seed0_test_mae_eV_per_atom,zero_shot_mae_eV_per_atom,gain_vs_zero_shot,gain_vs_finetune_seed0
nitride,50,5,45,5,242,300,64,0.001,0.6262377618588815,0.07903050688960729,0.2790133729701241,0.6211832106113434,0.16176314320230534,0.06954201496284854,-0.556695746896033,-0.46447461865657613
nitride,500,5,450,50,242,300,64,0.001,0.26778850011558325,0.016397891590949572,0.04659499391451309,0.3130533844232559,0.11103363031105808,0.06954201496284854,-0.1982464851527347,-0.1567548698045252
oxide,50,5,45,5,1484,300,64,0.001,0.49269724530679354,0.03860908422712931,0.09729443247947428,0.441520631313324,0.07005073417921368,0.03418360680813096,-0.45851363849866256,-0.4226465111275799
oxide,500,5,450,50,1484,300,64,0.001,0.1944518503487911,0.004850465690889901,0.037162558000379556,0.1760508105158806,0.04710622004661935,0.03418360680813096,-0.16026824354066013,-0.14734563030217174
