family,N,seed,n_train,n_val,n_test,epochs,batch_size,learning_rate,test_mae_eV_per_atom,train_mae_eV_per_atom,val_best_l1,summary_path,finetune_seed0_test_mae_eV_per_atom,zero_shot_mae_eV_per_atom,gain_vs_zero_shot,gain_vs_finetune_seed0
nitride,50,0,45,5,242,300,64,0.001,0.5869562744340004,0.20945282619860436,0.32256823778152466,/mnt/c/Users/lenovo/Desktop/res201-alignn-domain-shift/results/nitride/N50_seed0/train_alignn_fromscratch/summary.json,0.16176314320230534,0.06954201496284854,-0.5174142594711519,-0.4251931312316951
nitride,500,0,450,50,242,300,32,0.001,0.2599375531277504,0.05124099076795068,0.3465663343667984,/mnt/c/Users/lenovo/Desktop/res201-alignn-domain-shift/results/nitride/N500_seed0/train_alignn_fromscratch/summary.json,0.11103363031105808,0.06954201496284854,-0.19039553816490187,-0.14890392281669235
oxide,50,0,45,5,1484,300,64,0.001,0.5039579562547571,0.119954733716117,0.891509473323822,/mnt/c/Users/lenovo/Desktop/res201-alignn-domain-shift/results/oxide/N50_seed0/train_alignn_fromscratch/summary.json,0.07005073417921368,0.03418360680813096,-0.46977434944662616,-0.43390722207554344
oxide,500,0,450,50,1484,300,16,0.001,0.18889811140848475,0.04457454300485551,0.18881726451218128,/mnt/c/Users/lenovo/Desktop/res201-alignn-domain-shift/results/oxide/N500_seed0/train_alignn_fromscratch/summary.json,0.04710622004661935,0.03418360680813096,-0.1547145046003538,-0.1417918913618654
