family,N,seed,n_train,n_val,n_test,epochs,batch_size,final_batch_size,best_epoch,learning_rate,test_mae_eV_per_atom,train_mae_eV_per_atom,val_best_l1,device,elapsed_seconds,summary_path
nitride,1000,0,900,100,242,50,16,16,,0.0001,0.09962329966562593,0.05824099653514471,0.057828479047332494,cpu,916.1634094715118,Results_Hyperparameter_Set_1/nitride/N1000_seed0/finetune_last2/summary.json
nitride,1000,1,900,100,242,50,16,16,,0.0001,0.09825397432927997,0.06333663072669879,0.06330193898507527,cpu,1049.6658692359924,Results_Hyperparameter_Set_1/nitride/N1000_seed1/finetune_last2/summary.json
nitride,1000,2,900,100,242,50,16,16,,0.0001,0.10332520011319848,0.06686332077104858,0.0661276283540896,cpu,1033.9503943920135,Results_Hyperparameter_Set_1/nitride/N1000_seed2/finetune_last2/summary.json
nitride,1000,3,900,100,242,50,16,16,41.0,0.0001,0.07628011868974148,0.020286033337470144,0.0367802589067391,cuda,176.41687631607056,Results_Hyperparameter_Set_1/nitride/N1000_seed3/finetune_last2/summary.json
nitride,1000,4,900,100,242,50,16,16,49.0,0.0001,0.07577396422039626,0.019561153224680716,0.02157662489584514,cuda,174.97920489311218,Results_Hyperparameter_Set_1/nitride/N1000_seed4/finetune_last2/summary.json
oxide,10,0,5,5,1484,50,16,16,,0.0001,0.061017215491185904,0.04853203296661377,0.04937777668237686,cpu,242.199156999588,Results_Hyperparameter_Set_1/oxide/N10_seed0/finetune_last2/summary.json
oxide,10,1,5,5,1484,50,16,16,,0.0001,0.04149125672633963,0.02160710096359253,0.022792089730501175,cpu,275.3559591770172,Results_Hyperparameter_Set_1/oxide/N10_seed1/finetune_last2/summary.json
oxide,10,2,5,5,1484,50,16,16,,0.0001,0.03604465207750871,0.009272277355194092,0.009573603048920631,cpu,222.11971783638,Results_Hyperparameter_Set_1/oxide/N10_seed2/finetune_last2/summary.json
oxide,10,3,5,5,1484,50,16,16,1.0,0.0001,0.035633052163161184,0.013076938316226005,0.018688488751649857,cuda,52.73000884056091,Results_Hyperparameter_Set_1/oxide/N10_seed3/finetune_last2/summary.json
oxide,10,4,5,5,1484,50,16,16,1.0,0.0001,0.03447181468743535,0.010184067487716674,0.03071744553744793,cuda,42.35470247268677,Results_Hyperparameter_Set_1/oxide/N10_seed4/finetune_last2/summary.json
oxide,50,0,45,5,1484,50,16,16,,0.0001,0.07005073417921368,0.056140861246320936,0.03862946107983589,unknown,,Results_Hyperparameter_Set_1/oxide/N50_seed0/finetune_last2/summary.json
oxide,50,1,45,5,1484,50,16,16,,0.0001,0.06448534763725022,0.04211851474311617,0.051486361771821976,cpu,300.3469295501709,Results_Hyperparameter_Set_1/oxide/N50_seed1/finetune_last2/summary.json
oxide,50,2,45,5,1484,50,16,16,,0.0001,0.05068732930470956,0.03811915417512258,0.034813810139894485,cpu,305.04324746131897,Results_Hyperparameter_Set_1/oxide/N50_seed2/finetune_last2/summary.json
oxide,50,3,45,5,1484,50,16,16,27.0,0.0001,0.036241260656711675,0.008496906815303696,0.0184724573045969,cuda,50.5656840801239,Results_Hyperparameter_Set_1/oxide/N50_seed3/finetune_last2/summary.json
oxide,50,4,45,5,1484,50,16,16,10.0,0.0001,0.04002822036217933,0.019530428780449763,0.03210277482867241,cuda,49.7069890499115,Results_Hyperparameter_Set_1/oxide/N50_seed4/finetune_last2/summary.json
oxide,100,0,90,10,1484,50,16,16,,0.0001,0.05257886434410074,0.031108748581674363,0.028849195688962936,cpu,388.37509512901306,Results_Hyperparameter_Set_1/oxide/N100_seed0/finetune_last2/summary.json
oxide,100,1,90,10,1484,50,16,16,,0.0001,0.05444544710509474,0.03534741786619027,0.04227693751454353,cpu,447.91158509254456,Results_Hyperparameter_Set_1/oxide/N100_seed1/finetune_last2/summary.json
oxide,100,2,90,10,1484,50,16,16,,0.0001,0.05113948807179943,0.03232098631560802,0.05514305830001831,cpu,422.9154689311981,Results_Hyperparameter_Set_1/oxide/N100_seed2/finetune_last2/summary.json
oxide,100,3,90,10,1484,50,16,16,26.0,0.0001,0.03604405455249224,0.00933281249470181,0.01390132773667574,cuda,58.248607873916626,Results_Hyperparameter_Set_1/oxide/N100_seed3/finetune_last2/summary.json
