family,N,seed,n_train,n_val,n_test,epochs,batch_size,learning_rate,test_mae_eV_per_atom,train_mae_eV_per_atom,val_best_l1,device,elapsed_seconds,summary_path
nitride,500,2,450,50,242,50,16,0.0001,0.10659293236965237,0.07423409402448063,0.06508945859968662,cpu,441.1731433868408,/mnt/c/Users/lenovo/Desktop/res201-alignn-domain-shift/results/nitride/N500_seed2/finetune_last2/summary.json
nitride,1000,0,900,100,242,50,16,0.0001,0.09962329966562593,0.05824099653514471,0.057828479047332494,cpu,916.1634094715118,/mnt/c/Users/lenovo/Desktop/res201-alignn-domain-shift/results/nitride/N1000_seed0/finetune_last2/summary.json
nitride,1000,1,900,100,242,50,16,0.0001,0.09825397432927997,0.06333663072669879,0.06330193898507527,cpu,1049.6658692359924,/mnt/c/Users/lenovo/Desktop/res201-alignn-domain-shift/results/nitride/N1000_seed1/finetune_last2/summary.json
nitride,1000,2,900,100,242,50,16,0.0001,0.10332520011319848,0.06686332077104858,0.0661276283540896,cpu,1033.9503943920135,/mnt/c/Users/lenovo/Desktop/res201-alignn-domain-shift/results/nitride/N1000_seed2/finetune_last2/summary.json
oxide,10,0,5,5,1484,50,16,0.0001,0.061017215491185904,0.04853203296661377,0.04937777668237686,cpu,242.199156999588,/mnt/c/Users/lenovo/Desktop/res201-alignn-domain-shift/results/oxide/N10_seed0/finetune_last2/summary.json
oxide,10,1,5,5,1484,50,16,0.0001,0.04149125672633963,0.02160710096359253,0.022792089730501175,cpu,275.3559591770172,/mnt/c/Users/lenovo/Desktop/res201-alignn-domain-shift/results/oxide/N10_seed1/finetune_last2/summary.json
oxide,10,2,5,5,1484,50,16,0.0001,0.03604465207750871,0.009272277355194092,0.009573603048920631,cpu,222.11971783638,/mnt/c/Users/lenovo/Desktop/res201-alignn-domain-shift/results/oxide/N10_seed2/finetune_last2/summary.json
oxide,50,0,45,5,1484,50,16,0.0001,0.07005073417921368,0.056140861246320936,0.03862946107983589,unknown,,/mnt/c/Users/lenovo/Desktop/res201-alignn-domain-shift/results/oxide/N50_seed0/finetune_last2/summary.json
oxide,50,1,45,5,1484,50,16,0.0001,0.06448534763725022,0.04211851474311617,0.051486361771821976,cpu,300.3469295501709,/mnt/c/Users/lenovo/Desktop/res201-alignn-domain-shift/results/oxide/N50_seed1/finetune_last2/summary.json
oxide,50,2,45,5,1484,50,16,0.0001,0.05068732930470956,0.03811915417512258,0.034813810139894485,cpu,305.04324746131897,/mnt/c/Users/lenovo/Desktop/res201-alignn-domain-shift/results/oxide/N50_seed2/finetune_last2/summary.json
oxide,100,0,90,10,1484,50,16,0.0001,0.05257886434410074,0.031108748581674363,0.028849195688962936,cpu,388.37509512901306,/mnt/c/Users/lenovo/Desktop/res201-alignn-domain-shift/results/oxide/N100_seed0/finetune_last2/summary.json
oxide,100,1,90,10,1484,50,16,0.0001,0.05444544710509474,0.03534741786619027,0.04227693751454353,cpu,447.91158509254456,/mnt/c/Users/lenovo/Desktop/res201-alignn-domain-shift/results/oxide/N100_seed1/finetune_last2/summary.json
oxide,100,2,90,10,1484,50,16,0.0001,0.05113948807179943,0.03232098631560802,0.05514305830001831,cpu,422.9154689311981,/mnt/c/Users/lenovo/Desktop/res201-alignn-domain-shift/results/oxide/N100_seed2/finetune_last2/summary.json
oxide,200,0,180,20,1484,50,16,0.0001,0.05364166763080836,0.02721473475297292,0.03135932236909866,cpu,616.3076782226562,/mnt/c/Users/lenovo/Desktop/res201-alignn-domain-shift/results/oxide/N200_seed0/finetune_last2/summary.json
oxide,200,1,180,20,1484,50,16,0.0001,0.053726968007642935,0.038203918457859094,0.03322415053844452,cpu,664.1047039031982,/mnt/c/Users/lenovo/Desktop/res201-alignn-domain-shift/results/oxide/N200_seed1/finetune_last2/summary.json
oxide,200,2,180,20,1484,50,16,0.0001,0.04785101492107893,0.02787067781577611,0.029077453538775444,cpu,600.0372438430786,/mnt/c/Users/lenovo/Desktop/res201-alignn-domain-shift/results/oxide/N200_seed2/finetune_last2/summary.json
oxide,500,0,450,50,1484,50,16,0.0001,0.04710622004661935,0.02885432698763907,0.021461323369294405,cpu,1199.9444212913513,/mnt/c/Users/lenovo/Desktop/res201-alignn-domain-shift/results/oxide/N500_seed0/finetune_last2/summary.json
oxide,500,1,450,50,1484,50,16,0.0001,0.048688744135656596,0.028134605627920892,0.03870267514139414,cpu,1135.684612751007,/mnt/c/Users/lenovo/Desktop/res201-alignn-domain-shift/results/oxide/N500_seed1/finetune_last2/summary.json
oxide,500,2,450,50,1484,50,16,0.0001,0.04664558848611523,0.025862410594450515,0.02519617136567831,cpu,971.7053537368774,/mnt/c/Users/lenovo/Desktop/res201-alignn-domain-shift/results/oxide/N500_seed2/finetune_last2/summary.json
oxide,1000,0,900,100,1484,50,16,0.0001,0.04637412279150813,0.027300261870130068,0.025852453229682788,cpu,1946.9683768749237,/mnt/c/Users/lenovo/Desktop/res201-alignn-domain-shift/results/oxide/N1000_seed0/finetune_last2/summary.json
oxide,1000,1,900,100,1484,50,16,0.0001,0.04565289398800265,0.028524171863165165,0.03382121053125177,cpu,1700.8485629558563,/mnt/c/Users/lenovo/Desktop/res201-alignn-domain-shift/results/oxide/N1000_seed1/finetune_last2/summary.json
oxide,1000,2,900,100,1484,50,16,0.0001,0.0446569330504257,0.02373924717733947,0.027727057891232625,cpu,1716.37748837471,/mnt/c/Users/lenovo/Desktop/res201-alignn-domain-shift/results/oxide/N1000_seed2/finetune_last2/summary.json
