embedding_source,pca_fit_subset,standardized_before_pca,n_fit_structures,n_embedding_dimensions,pc1_explained_variance_ratio,pc2_explained_variance_ratio,pc1_explained_variance_pct,pc2_explained_variance_pct,cumulative_2d_explained_variance_pct,pc1_explained_variance,pc2_explained_variance,pc1_singular_value,pc2_singular_value
pre_head,balanced_pool_set,True,4092,256,0.09056774015193889,0.07961765450941588,9.056774015193888,7.961765450941588,17.018539466135476,23.191008880871145,20.38710173958631,308.01691078842384,288.79687189553766
last_alignn_pool,balanced_pool_set,True,4092,256,0.1812648448044146,0.09471929327113042,18.12648448044146,9.471929327113042,27.5984138075545,46.4151431690428,24.254066268579614,435.7572153212774,314.9974366637913
last_gcn_pool,balanced_pool_set,True,4092,256,0.09056774015193889,0.07961765450941588,9.056774015193888,7.961765450941588,17.018539466135476,23.191008880871145,20.38710173958631,308.01691078842384,288.79687189553766
