embedding_source,distance_metric,distance_label,statistic,comparison,value,ci_low,ci_high,ci_level,p_value,p_value_bh_fdr_within_statistic,p_value_method,test_alternative,n_nitrides,n_oxide_reference,hard_nitrides_count,easy_nitrides_count,k_oxide_neighbors,analysis_space,error_metric,hard_group_distance_summary,easy_group_distance_summary,mahalanobis_status,mahalanobis_condition_number,mahalanobis_shrinkage
last_alignn_pool,oxide_centroid_distance,Oxide centroid distance,spearman_correlation,nitride_abs_error_vs_distance,0.17266635083810994,0.04385321740899117,0.29464592142482443,0.95,0.004299570042995701,0.004299570042995701,permutation_pairing_errors_to_distances,greater,242,13507,49,49,,raw_256d_embedding_vectors,absolute_zero_shot_error,,,computed_ledoit_wolf_stable,3145.417676701062,0.0006563927738960449
last_alignn_pool,oxide_centroid_distance,Oxide centroid distance,pearson_correlation,nitride_abs_error_vs_distance,0.23245810164943667,0.1172537215370994,0.35158164186088536,0.95,0.00029997000299970003,0.00033746625337466253,permutation_pairing_errors_to_distances,greater,242,13507,49,49,,raw_256d_embedding_vectors,absolute_zero_shot_error,,,computed_ledoit_wolf_stable,3145.417676701062,0.0006563927738960449
last_alignn_pool,oxide_centroid_distance,Oxide centroid distance,hard_minus_easy_mean_distance,hard_top_20pct_vs_easy_bottom_20pct,0.6130519962810714,0.0903679549910192,1.0985996396591466,0.95,0.010498950104989501,0.010498950104989501,permutation_group_labels_within_hard_easy_union,greater,242,13507,49,49,,raw_256d_embedding_vectors,absolute_zero_shot_error,7.176514737617779,6.563462741336708,computed_ledoit_wolf_stable,3145.417676701062,0.0006563927738960449
last_alignn_pool,oxide_centroid_distance,Oxide centroid distance,hard_minus_easy_median_distance,hard_top_20pct_vs_easy_bottom_20pct,0.5575810861438448,-0.2563139908762997,1.3812716086110894,0.95,0.04999500049995,0.04999500049995,permutation_group_labels_within_hard_easy_union,greater,242,13507,49,49,,raw_256d_embedding_vectors,absolute_zero_shot_error,7.073506774731425,6.51592568858758,computed_ledoit_wolf_stable,3145.417676701062,0.0006563927738960449
last_alignn_pool,oxide_knn5_mean_distance,Mean 5NN oxide distance,spearman_correlation,nitride_abs_error_vs_distance,0.34276416031728496,0.22135741152572966,0.4597133751250733,0.95,9.999000099990002e-05,0.00012855857271415716,permutation_pairing_errors_to_distances,greater,242,13507,49,49,5,raw_256d_embedding_vectors,absolute_zero_shot_error,,,computed_ledoit_wolf_stable,3145.417676701062,0.0006563927738960449
last_alignn_pool,oxide_knn5_mean_distance,Mean 5NN oxide distance,pearson_correlation,nitride_abs_error_vs_distance,0.2769539689828335,0.17406549505528343,0.38896664339117226,0.95,9.999000099990002e-05,0.00012855857271415716,permutation_pairing_errors_to_distances,greater,242,13507,49,49,5,raw_256d_embedding_vectors,absolute_zero_shot_error,,,computed_ledoit_wolf_stable,3145.417676701062,0.0006563927738960449
last_alignn_pool,oxide_knn5_mean_distance,Mean 5NN oxide distance,hard_minus_easy_mean_distance,hard_top_20pct_vs_easy_bottom_20pct,0.8167619384662306,0.4745924077568131,1.1596977522397367,0.95,9.999000099990002e-05,0.00017998200179982003,permutation_group_labels_within_hard_easy_union,greater,242,13507,49,49,5,raw_256d_embedding_vectors,absolute_zero_shot_error,4.598814184749344,3.782052246283113,computed_ledoit_wolf_stable,3145.417676701062,0.0006563927738960449
last_alignn_pool,oxide_knn5_mean_distance,Mean 5NN oxide distance,hard_minus_easy_median_distance,hard_top_20pct_vs_easy_bottom_20pct,0.8729275210078176,0.41610008854404423,1.2864051001946128,0.95,9.999000099990002e-05,0.00029997000299970003,permutation_group_labels_within_hard_easy_union,greater,242,13507,49,49,5,raw_256d_embedding_vectors,absolute_zero_shot_error,4.647284218130375,3.7743566971225575,computed_ledoit_wolf_stable,3145.417676701062,0.0006563927738960449
last_alignn_pool,oxide_mahalanobis_lw_distance,Mahalanobis distance,spearman_correlation,nitride_abs_error_vs_distance,0.24024688817848633,0.10474167276121585,0.36257788641559996,0.95,9.999000099990002e-05,0.00012855857271415716,permutation_pairing_errors_to_distances,greater,242,13507,49,49,,raw_256d_embedding_vectors,absolute_zero_shot_error,,,computed_ledoit_wolf_stable,3145.417676701062,0.0006563927738960449
last_alignn_pool,oxide_mahalanobis_lw_distance,Mahalanobis distance,pearson_correlation,nitride_abs_error_vs_distance,0.20681175910300537,0.08101944556230885,0.34287651709636013,0.95,0.000999900009999,0.000999900009999,permutation_pairing_errors_to_distances,greater,242,13507,49,49,,raw_256d_embedding_vectors,absolute_zero_shot_error,,,computed_ledoit_wolf_stable,3145.417676701062,0.0006563927738960449
