dataset,dataset_label,embedding_source,embedding_dim,metric_name,metric_scope,value,ci_low,ci_high,ci_level,ci_method,higher_is_better,n_structures,n_oxide,n_nitride,vector_space,raw_space_primary,projected_space,preprocessing,parameters
fixed_test_set,Fixed test set,last_gcn_pool,256,silhouette_score,oxide,0.18519537470734157,0.17544974455787304,0.19493767248066718,0.95,bootstrap_over_family_per_structure_silhouette_values,True,1726,1484,242,raw_256d_embedding_vectors,True,none,none,"{""metric"": ""euclidean""}"
fixed_test_set,Fixed test set,last_gcn_pool,256,silhouette_score,nitride,0.22302443664864477,0.2066116399769188,0.237677756625303,0.95,bootstrap_over_family_per_structure_silhouette_values,True,1726,1484,242,raw_256d_embedding_vectors,True,none,none,"{""metric"": ""euclidean""}"
fixed_test_set,Fixed test set,last_gcn_pool,256,davies_bouldin_index,overall_family_labels,1.6936503655060886,1.6081246901124844,1.7798550506413358,0.95,stratified_bootstrap_recomputed_index,False,1726,1484,242,raw_256d_embedding_vectors,True,none,none,"{""metric"": ""euclidean""}"
fixed_test_set,Fixed test set,last_gcn_pool,256,knn_family_purity,overall_family_labels,0.9577056778679026,0.951563344920819,0.9631923522595597,0.95,stratified_bootstrap_over_per_structure_purity_values,True,1726,1484,242,raw_256d_embedding_vectors,True,none,none,"{""k_neighbors"": 15, ""metric"": ""euclidean"", ""self_excluded"": true}"
fixed_test_set,Fixed test set,last_gcn_pool,256,knn_family_purity,oxide,0.983737646001797,0.9792890835579515,0.9879177897574124,0.95,bootstrap_over_family_per_structure_purity_values,True,1726,1484,242,raw_256d_embedding_vectors,True,none,none,"{""k_neighbors"": 15, ""metric"": ""euclidean"", ""self_excluded"": true}"
fixed_test_set,Fixed test set,last_gcn_pool,256,knn_family_purity,nitride,0.7980716253443526,0.763629476584022,0.8297520661157025,0.95,bootstrap_over_family_per_structure_purity_values,True,1726,1484,242,raw_256d_embedding_vectors,True,none,none,"{""k_neighbors"": 15, ""metric"": ""euclidean"", ""self_excluded"": true}"
fixed_test_set,Fixed test set,last_gcn_pool,256,logistic_regression_family_auc,overall_family_labels,0.9973324274353434,0.9955891771179077,0.998755388051057,0.95,stratified_bootstrap_over_cross_validated_out_of_fold_scores,True,1726,1484,242,raw_256d_embedding_vectors,True,none,fold_local_standard_scaler_no_dimensionality_reduction,"{""class_weight"": ""balanced"", ""cv_folds"": 5, ""positive_label"": ""nitride"", ""solver"": ""lbfgs""}"
balanced_pool_set,Balanced train+val pool,pre_head,256,silhouette_score,overall_family_labels,0.2147995146211619,0.21017648783518184,0.2194974331611046,0.95,stratified_bootstrap_over_per_structure_silhouette_values,True,4092,2046,2046,raw_256d_embedding_vectors,True,none,none,"{""metric"": ""euclidean""}"
balanced_pool_set,Balanced train+val pool,pre_head,256,silhouette_score,oxide,0.19410601742899738,0.18596862768937034,0.20206050721537092,0.95,bootstrap_over_family_per_structure_silhouette_values,True,4092,2046,2046,raw_256d_embedding_vectors,True,none,none,"{""metric"": ""euclidean""}"
balanced_pool_set,Balanced train+val pool,pre_head,256,silhouette_score,nitride,0.2354930118133265,0.23060005123909325,0.24017566826797382,0.95,bootstrap_over_family_per_structure_silhouette_values,True,4092,2046,2046,raw_256d_embedding_vectors,True,none,none,"{""metric"": ""euclidean""}"
