embedding_source,material_id,family,split,formula,absolute_error,absolute_error_float,error_group,embedding_row_index,embedding_dim,n_oxide_reference,k_oxide_neighbors,oxide_centroid_distance,oxide_knn5_mean_distance,oxide_mahalanobis_lw_distance,mahalanobis_status,mahalanobis_condition_number,mahalanobis_shrinkage
pre_head,JVASP-14575,nitride,test,CeN,0.0227323704528807,0.0227323704528807,middle_60pct,1484,256,13507,5,5.228631133248757,3.6692285865028738,26.598600826941713,computed_ledoit_wolf_stable,7296.831618628379,0.0005008243485253812
pre_head,JVASP-85272,nitride,test,C3N4,0.219339679365158,0.219339679365158,hard_top_20pct,1485,256,13507,5,9.227749182747667,5.369157075892311,40.777589325755976,computed_ledoit_wolf_stable,7296.831618628379,0.0005008243485253812
pre_head,JVASP-85366,nitride,test,K2FeCuC6N6,0.0021939079284667,0.0021939079284667,easy_bottom_20pct,1486,256,13507,5,7.1815578304385,3.5666917606951314,30.99956323993225,computed_ledoit_wolf_stable,7296.831618628379,0.0005008243485253812
pre_head,JVASP-88718,nitride,test,RbBiC4S4N4,0.0094454022169113,0.0094454022169113,middle_60pct,1487,256,13507,5,6.612261515704107,2.5901250610846076,24.65816204442662,computed_ledoit_wolf_stable,7296.831618628379,0.0005008243485253812
pre_head,JVASP-90346,nitride,test,CoI2N6,0.1204934436035154,0.1204934436035154,hard_top_20pct,1488,256,13507,5,11.508597355068458,5.700160155169376,43.81526464481975,computed_ledoit_wolf_stable,7296.831618628379,0.0005008243485253812
pre_head,JVASP-85471,nitride,test,AgC2N3,0.0263772588539123,0.0263772588539123,middle_60pct,1489,256,13507,5,8.247192478934974,3.5036067253103456,27.26916697493715,computed_ledoit_wolf_stable,7296.831618628379,0.0005008243485253812
pre_head,JVASP-91752,nitride,test,BC2N,0.328810476064682,0.328810476064682,hard_top_20pct,1490,256,13507,5,8.36459183222499,4.2341944702504115,31.824720241072715,computed_ledoit_wolf_stable,7296.831618628379,0.0005008243485253812
pre_head,JVASP-54353,nitride,test,RuN2,0.0046585236597061,0.0046585236597061,easy_bottom_20pct,1491,256,13507,5,8.479255832548077,4.434922974902975,32.72774667414103,computed_ledoit_wolf_stable,7296.831618628379,0.0005008243485253812
pre_head,JVASP-97661,nitride,test,SiBHC3NCl2,0.2036678789997101,0.2036678789997101,hard_top_20pct,1492,256,13507,5,6.305017941760266,2.794363796449658,19.2840722371337,computed_ledoit_wolf_stable,7296.831618628379,0.0005008243485253812
pre_head,JVASP-86049,nitride,test,RhN2,0.0008992524051666,0.0008992524051666,easy_bottom_20pct,1493,256,13507,5,8.70540876022723,4.835032460936388,34.62120576273554,computed_ledoit_wolf_stable,7296.831618628379,0.0005008243485253812
pre_head,JVASP-91533,nitride,test,CaNiBN,0.0503397555541991,0.0503397555541991,middle_60pct,1494,256,13507,5,5.430429061827293,3.5563393582103466,23.83978420493115,computed_ledoit_wolf_stable,7296.831618628379,0.0005008243485253812
pre_head,JVASP-1363,nitride,test,TmN,0.0128924342346192,0.0128924342346192,middle_60pct,1495,256,13507,5,5.648915559628588,4.219865881685545,28.405736602345023,computed_ledoit_wolf_stable,7296.831618628379,0.0005008243485253812
pre_head,JVASP-92165,nitride,test,Nd2BiN,0.0085525296783446,0.0085525296783446,easy_bottom_20pct,1496,256,13507,5,5.489338579581357,3.33256279214356,23.149410402977452,computed_ledoit_wolf_stable,7296.831618628379,0.0005008243485253812
pre_head,JVASP-62906,nitride,test,BN,0.0063699847793579,0.0063699847793579,easy_bottom_20pct,1497,256,13507,5,5.897474947665532,4.192532249322732,33.642272795803635,computed_ledoit_wolf_stable,7296.831618628379,0.0005008243485253812
pre_head,JVASP-18578,nitride,test,Sr2AuN,0.0018370959854125,0.0018370959854125,easy_bottom_20pct,1498,256,13507,5,5.754522661420517,3.5242001411070185,24.873541292920457,computed_ledoit_wolf_stable,7296.831618628379,0.0005008243485253812
pre_head,JVASP-98154,nitride,test,BH2NCl2,0.0180452923202514,0.0180452923202514,middle_60pct,1499,256,13507,5,5.112838849670845,2.6730341433452063,19.277721611848378,computed_ledoit_wolf_stable,7296.831618628379,0.0005008243485253812
pre_head,JVASP-62778,nitride,test,BN,0.0063462630081176,0.0063462630081176,easy_bottom_20pct,1500,256,13507,5,5.81251991834137,4.264318592594694,36.17431822691905,computed_ledoit_wolf_stable,7296.831618628379,0.0005008243485253812
pre_head,JVASP-86297,nitride,test,HgC2Se2N2,0.0041639028358459,0.0041639028358459,easy_bottom_20pct,1501,256,13507,5,8.09321829578258,3.56788657386794,25.533879962421764,computed_ledoit_wolf_stable,7296.831618628379,0.0005008243485253812
pre_head,JVASP-88943,nitride,test,Ba3LiN,0.0228253755283355,0.0228253755283355,middle_60pct,1502,256,13507,5,7.667594308842626,4.72754603421846,33.62377481450716,computed_ledoit_wolf_stable,7296.831618628379,0.0005008243485253812
pre_head,JVASP-91637,nitride,test,AsNF6,0.0088898305892943,0.0088898305892943,middle_60pct,1503,256,13507,5,5.5030318773556015,3.6659544127150765,26.593662712661384,computed_ledoit_wolf_stable,7296.831618628379,0.0005008243485253812
pre_head,JVASP-90886,nitride,test,InSiCN,0.0077895547199249,0.0077895547199249,easy_bottom_20pct,1504,256,13507,5,7.045086082235881,3.8564857511672757,26.9018509896335,computed_ledoit_wolf_stable,7296.831618628379,0.0005008243485253812
pre_head,JVASP-63657,nitride,test,BN,0.0042350031280518,0.0042350031280518,easy_bottom_20pct,1505,256,13507,5,5.878234687805377,4.290775154440854,33.116341441323144,computed_ledoit_wolf_stable,7296.831618628379,0.0005008243485253812
pre_head,JVASP-89538,nitride,test,HgH8C2Br3N,0.0086581706237792,0.0086581706237792,easy_bottom_20pct,1506,256,13507,5,6.081728182303089,1.960744465171241,14.468562796033384,computed_ledoit_wolf_stable,7296.831618628379,0.0005008243485253812
pre_head,JVASP-63271,nitride,test,KAuC2N2,0.0666293530511856,0.0666293530511856,middle_60pct,1507,256,13507,5,7.1618411603028385,3.593385217820818,27.774515702157775,computed_ledoit_wolf_stable,7296.831618628379,0.0005008243485253812
pre_head,JVASP-88465,nitride,test,AsS3N2F6,0.023624984703064,0.023624984703064,middle_60pct,1508,256,13507,5,4.190305871462711,2.779970177378339,18.55005952588628,computed_ledoit_wolf_stable,7296.831618628379,0.0005008243485253812
pre_head,JVASP-88321,nitride,test,BH5CSN2,0.0007596276950836,0.0007596276950836,easy_bottom_20pct,1509,256,13507,5,6.245058295164674,2.2684277453372097,16.93684582587387,computed_ledoit_wolf_stable,7296.831618628379,0.0005008243485253812
pre_head,JVASP-86715,nitride,test,Ca4TiN4,0.0001430476379393,0.0001430476379393,easy_bottom_20pct,1510,256,13507,5,5.0745592546617,3.0824564285741296,22.559775802807074,computed_ledoit_wolf_stable,7296.831618628379,0.0005008243485253812
pre_head,JVASP-18441,nitride,test,U2BiN2,0.0141384652709961,0.0141384652709961,middle_60pct,1511,256,13507,5,5.789436207510543,4.076511413738695,28.15919723889169,computed_ledoit_wolf_stable,7296.831618628379,0.0005008243485253812
pre_head,JVASP-49789,nitride,test,Zr3N4,0.0744941897964477,0.0744941897964477,middle_60pct,1512,256,13507,5,5.208472908300931,3.6091847892920086,27.060451425240686,computed_ledoit_wolf_stable,7296.831618628379,0.0005008243485253812
pre_head,JVASP-92554,nitride,test,HgN2Cl2,0.1316818930053711,0.1316818930053711,hard_top_20pct,1513,256,13507,5,9.709610129881112,4.8415903306958326,31.301536051893276,computed_ledoit_wolf_stable,7296.831618628379,0.0005008243485253812
pre_head,JVASP-15783,nitride,test,CaGaN,0.0137606300544739,0.0137606300544739,middle_60pct,1514,256,13507,5,5.370791459886008,3.3406453157294593,21.69803237290404,computed_ledoit_wolf_stable,7296.831618628379,0.0005008243485253812
pre_head,JVASP-4849,nitride,test,AlN,0.1701248200988769,0.1701248200988769,hard_top_20pct,1515,256,13507,5,5.346295154655373,3.714151893220321,28.414332616435065,computed_ledoit_wolf_stable,7296.831618628379,0.0005008243485253812
pre_head,JVASP-85784,nitride,test,TiH8N2F6,0.0022717299270629,0.0022717299270629,easy_bottom_20pct,1516,256,13507,5,3.48482911638033,2.3993887779270353,19.28057269689686,computed_ledoit_wolf_stable,7296.831618628379,0.0005008243485253812
pre_head,JVASP-18491,nitride,test,Sc2NCl2,0.0143248925018308,0.0143248925018308,middle_60pct,1517,256,13507,5,4.4817311494202166,3.6073279188666474,23.79716251467344,computed_ledoit_wolf_stable,7296.831618628379,0.0005008243485253812
pre_head,JVASP-92646,nitride,test,MnNF3,0.1517040507316589,0.1517040507316589,hard_top_20pct,1518,256,13507,5,6.50583783384984,5.159091468079798,35.953244868163175,computed_ledoit_wolf_stable,7296.831618628379,0.0005008243485253812
pre_head,JVASP-14972,nitride,test,NpN,0.1551654046249388,0.1551654046249388,hard_top_20pct,1519,256,13507,5,5.9030128814019065,4.424368815327544,32.29119328853456,computed_ledoit_wolf_stable,7296.831618628379,0.0005008243485253812
pre_head,JVASP-94922,nitride,test,PdBr4N2,0.0861051952362059,0.0861051952362059,middle_60pct,1520,256,13507,5,9.233084722537487,4.611708145229068,32.785765656737155,computed_ledoit_wolf_stable,7296.831618628379,0.0005008243485253812
pre_head,JVASP-92660,nitride,test,Ce2SeN2,0.0460263270568848,0.0460263270568848,middle_60pct,1521,256,13507,5,4.785288573727969,3.6067798920757284,25.45255619674547,computed_ledoit_wolf_stable,7296.831618628379,0.0005008243485253812
pre_head,JVASP-106069,nitride,test,Hf3N2,0.0695978742980956,0.0695978742980956,middle_60pct,1522,256,13507,5,5.838432629935508,4.4003309575647505,32.03545584549766,computed_ledoit_wolf_stable,7296.831618628379,0.0005008243485253812
pre_head,JVASP-14666,nitride,test,PrN,0.0870364102554321,0.0870364102554321,middle_60pct,1523,256,13507,5,5.465507338568581,3.7268115565629985,28.19586987553316,computed_ledoit_wolf_stable,7296.831618628379,0.0005008243485253812
pre_head,JVASP-93793,nitride,test,KCN,0.0423861809730529,0.0423861809730529,middle_60pct,1524,256,13507,5,6.895722237566735,4.1597300215999145,31.51963271400444,computed_ledoit_wolf_stable,7296.831618628379,0.0005008243485253812
pre_head,JVASP-15198,nitride,test,UTeN,0.0142927444458007,0.0142927444458007,middle_60pct,1525,256,13507,5,5.044133032932835,3.739081250936765,26.053428152813787,computed_ledoit_wolf_stable,7296.831618628379,0.0005008243485253812
pre_head,JVASP-99359,nitride,test,PSN9,0.1433219389057159,0.1433219389057159,hard_top_20pct,1526,256,13507,5,8.854800480519561,4.516412771589884,35.13968226929255,computed_ledoit_wolf_stable,7296.831618628379,0.0005008243485253812
pre_head,JVASP-95288,nitride,test,SrC2S2N2,0.0118049460983276,0.0118049460983276,middle_60pct,1527,256,13507,5,5.791175656141227,3.5299030613958386,24.884525898697053,computed_ledoit_wolf_stable,7296.831618628379,0.0005008243485253812
pre_head,JVASP-99944,nitride,test,NbVCN,0.0149645524787902,0.0149645524787902,middle_60pct,1528,256,13507,5,5.920377809826111,4.2339480137129994,26.673923988118105,computed_ledoit_wolf_stable,7296.831618628379,0.0005008243485253812
pre_head,JVASP-94316,nitride,test,MoN2,0.2223169459819793,0.2223169459819793,hard_top_20pct,1529,256,13507,5,8.270716287656498,5.2274711864606305,40.82265415610083,computed_ledoit_wolf_stable,7296.831618628379,0.0005008243485253812
pre_head,JVASP-94956,nitride,test,Ni4N3,0.0462787594795227,0.0462787594795227,middle_60pct,1530,256,13507,5,8.033147062502117,3.9737250366908463,25.888016653161305,computed_ledoit_wolf_stable,7296.831618628379,0.0005008243485253812
pre_head,JVASP-92631,nitride,test,CdBr2N2,0.0375194965362548,0.0375194965362548,middle_60pct,1531,256,13507,5,9.21608482494727,4.673564069716706,29.594292990975077,computed_ledoit_wolf_stable,7296.831618628379,0.0005008243485253812
pre_head,JVASP-55156,nitride,test,Fe3RhN,0.0352471742486953,0.0352471742486953,middle_60pct,1532,256,13507,5,7.632900451324191,4.555232295639786,34.34579594412743,computed_ledoit_wolf_stable,7296.831618628379,0.0005008243485253812
pre_head,JVASP-93311,nitride,test,NaZnN,0.0827760209846496,0.0827760209846496,middle_60pct,1533,256,13507,5,6.886148660093857,3.9977468480279486,25.12945833851968,computed_ledoit_wolf_stable,7296.831618628379,0.0005008243485253812
pre_head,JVASP-101445,nitride,test,YThN2,0.0031107089996338,0.0031107089996338,easy_bottom_20pct,1534,256,13507,5,5.0196964885066135,3.6565673402596808,27.586070919646,computed_ledoit_wolf_stable,7296.831618628379,0.0005008243485253812
pre_head,JVASP-15120,nitride,test,Cr3GaN,0.0388556191062927,0.0388556191062927,middle_60pct,1535,256,13507,5,7.335348057566272,4.716713509509235,33.072268450059106,computed_ledoit_wolf_stable,7296.831618628379,0.0005008243485253812
pre_head,JVASP-99410,nitride,test,Y4S3N2,0.0206060635375977,0.0206060635375977,middle_60pct,1536,256,13507,5,4.320611587892747,3.0926384079996945,19.831054670061313,computed_ledoit_wolf_stable,7296.831618628379,0.0005008243485253812
pre_head,JVASP-103049,nitride,test,Ta4N3,0.0281680395889283,0.0281680395889283,middle_60pct,1537,256,13507,5,5.959245369275941,4.1618588544742625,30.266816082912904,computed_ledoit_wolf_stable,7296.831618628379,0.0005008243485253812
pre_head,JVASP-99987,nitride,test,HfZrCN,0.0179313559341429,0.0179313559341429,middle_60pct,1538,256,13507,5,5.382013720779155,4.027894668599895,27.55071081395398,computed_ledoit_wolf_stable,7296.831618628379,0.0005008243485253812
