family,N,runs,n_train,n_val,n_test,epochs,batch_size,learning_rate,mean_test_mae_eV_per_atom,std_test_mae_eV_per_atom,mean_train_mae_eV_per_atom,mean_val_best_l1,zero_shot_mae_eV_per_atom,zero_shot_summary_path,gain_vs_zero_shot
nitride,50,5,45,5,242,100,32,5e-05,0.7233623015270991,0.06314405915175908,0.45923980459156966,0.7808360069990158,0.06954201496284854,results/nitride/zero_shot/summary.json,-0.6538202865642506
nitride,500,5,450,50,242,100,32,5e-05,0.37228746603527835,0.024852150103375922,0.10501036703862418,0.378892195224762,0.06954201496284854,results/nitride/zero_shot/summary.json,-0.3027454510724298
oxide,50,5,45,5,1484,100,32,5e-05,0.6556934855821558,0.10328993102290701,0.2575639879124032,0.6591719031333924,0.03418360680813096,results/oxide/zero_shot/summary.json,-0.6215098787740249
oxide,500,5,450,50,1484,100,32,5e-05,0.26901224717090527,0.008698818189298374,0.07238832648320952,0.22165558934211732,0.03418360680813096,results/oxide/zero_shot/summary.json,-0.23482864036277432
