family,N,seed,epochs,best_val_epoch,best_val_l1,test_mae_eV_per_atom,png_path,pdf_path
nitride,200,2,300,1,0.005724662449210882,0.07099642951718786,/content/res201-alignn-domain-shift/reports/week2_alignn_defaults_colab_5seed/training_curves/nitride/nitride_N200_seed2_training_curves.png,/content/res201-alignn-domain-shift/reports/week2_alignn_defaults_colab_5seed/training_curves/nitride/nitride_N200_seed2_training_curves.pdf
nitride,200,3,300,1,0.027280045673251152,0.07121755943964582,/content/res201-alignn-domain-shift/reports/week2_alignn_defaults_colab_5seed/training_curves/nitride/nitride_N200_seed3_training_curves.png,/content/res201-alignn-domain-shift/reports/week2_alignn_defaults_colab_5seed/training_curves/nitride/nitride_N200_seed3_training_curves.pdf
nitride,200,4,300,1,0.009826748631894588,0.07101444409744552,/content/res201-alignn-domain-shift/reports/week2_alignn_defaults_colab_5seed/training_curves/nitride/nitride_N200_seed4_training_curves.png,/content/res201-alignn-domain-shift/reports/week2_alignn_defaults_colab_5seed/training_curves/nitride/nitride_N200_seed4_training_curves.pdf
nitride,500,0,300,1,0.036608241498470306,0.07644698838895757,/content/res201-alignn-domain-shift/reports/week2_alignn_defaults_colab_5seed/training_curves/nitride/nitride_N500_seed0_training_curves.png,/content/res201-alignn-domain-shift/reports/week2_alignn_defaults_colab_5seed/training_curves/nitride/nitride_N500_seed0_training_curves.pdf
nitride,500,1,300,1,0.016426343470811844,0.0765874094352865,/content/res201-alignn-domain-shift/reports/week2_alignn_defaults_colab_5seed/training_curves/nitride/nitride_N500_seed1_training_curves.png,/content/res201-alignn-domain-shift/reports/week2_alignn_defaults_colab_5seed/training_curves/nitride/nitride_N500_seed1_training_curves.pdf
nitride,500,2,300,1,0.01745445840060711,0.07563501409416602,/content/res201-alignn-domain-shift/reports/week2_alignn_defaults_colab_5seed/training_curves/nitride/nitride_N500_seed2_training_curves.png,/content/res201-alignn-domain-shift/reports/week2_alignn_defaults_colab_5seed/training_curves/nitride/nitride_N500_seed2_training_curves.pdf
nitride,500,3,300,232,0.03692611679434776,0.07394608368034944,/content/res201-alignn-domain-shift/reports/week2_alignn_defaults_colab_5seed/training_curves/nitride/nitride_N500_seed3_training_curves.png,/content/res201-alignn-domain-shift/reports/week2_alignn_defaults_colab_5seed/training_curves/nitride/nitride_N500_seed3_training_curves.pdf
nitride,500,4,300,1,0.018956255167722702,0.0760989828835711,/content/res201-alignn-domain-shift/reports/week2_alignn_defaults_colab_5seed/training_curves/nitride/nitride_N500_seed4_training_curves.png,/content/res201-alignn-domain-shift/reports/week2_alignn_defaults_colab_5seed/training_curves/nitride/nitride_N500_seed4_training_curves.pdf
nitride,1000,0,300,108,0.02836447022855282,0.0735260474087655,/content/res201-alignn-domain-shift/reports/week2_alignn_defaults_colab_5seed/training_curves/nitride/nitride_N1000_seed0_training_curves.png,/content/res201-alignn-domain-shift/reports/week2_alignn_defaults_colab_5seed/training_curves/nitride/nitride_N1000_seed0_training_curves.pdf
nitride,1000,1,300,109,0.020552546717226505,0.07493703956292434,/content/res201-alignn-domain-shift/reports/week2_alignn_defaults_colab_5seed/training_curves/nitride/nitride_N1000_seed1_training_curves.png,/content/res201-alignn-domain-shift/reports/week2_alignn_defaults_colab_5seed/training_curves/nitride/nitride_N1000_seed1_training_curves.pdf
nitride,1000,2,300,41,0.019070378504693508,0.07478615018916278,/content/res201-alignn-domain-shift/reports/week2_alignn_defaults_colab_5seed/training_curves/nitride/nitride_N1000_seed2_training_curves.png,/content/res201-alignn-domain-shift/reports/week2_alignn_defaults_colab_5seed/training_curves/nitride/nitride_N1000_seed2_training_curves.pdf
nitride,1000,3,300,110,0.02647390216588974,0.07407090419610916,/content/res201-alignn-domain-shift/reports/week2_alignn_defaults_colab_5seed/training_curves/nitride/nitride_N1000_seed3_training_curves.png,/content/res201-alignn-domain-shift/reports/week2_alignn_defaults_colab_5seed/training_curves/nitride/nitride_N1000_seed3_training_curves.pdf
nitride,1000,4,300,94,0.021556059829890728,0.07573349266659377,/content/res201-alignn-domain-shift/reports/week2_alignn_defaults_colab_5seed/training_curves/nitride/nitride_N1000_seed4_training_curves.png,/content/res201-alignn-domain-shift/reports/week2_alignn_defaults_colab_5seed/training_curves/nitride/nitride_N1000_seed4_training_curves.pdf
